sk,id,org_inn
70,0847500000624000007,4900000184
71,0372200080824000088,7819017673
72,0859200001124004045,6234151768
73,0361200015024002265,6501220230
1607,0144200002424000050,4629011325
78,0391100004124000003,7534015084
79,0340200003324004534,4345233451
76,0843500000224002347,4501214152
7142,0818500001624000011,2361018440
81,0373400001124000007,7718244775
82,0816500000624004889,1435335477
83,0103200008424001541,0572005870
84,0101300002024000009,0230003750
85,0373100060024000054,7730087409
95,0372200001724000068,7807331571
87,0330300051224000043,3525119989
89,0113100004624000004,1831145060
86,0372200077724000054,7814133757
90,0891200000624004186,7536155048
93,0173100008324000013,7705847529
94,0358200044224000005,6165154123
7443,0301300247624000336,0276085700
92,0157600001724000034,6000006557
9546,0173100011224000008,7708234633
96,0318500001124000005,2310226080
4573,0358300341724000004,6150925052
98,0187300001524000002,8601010336
99,0168500000624001539,7325169669
17365,0116300000224000145,1433017567
102,0873400004124000019,9710088253
5726,0120100005324000116,2536153725
103,0373500001424000056,7714972558
101,0318300065124000158,2323023753
11086,0172200004224000011,7830002423
9547,0120100005324000116,2536153725
107,0134300013524000051,3831004024
108,0372200202924000018,7801140299
114,0815500000524003329,2130225986
12809,0318200016424000017,2322023888
14462,0135300003824000019,3918008200
3334,0815500000524004290,2130225986
111,0118300013324000374,2315061988
112,0848300048724000138,5035027683
8948,0172300006124000006,7814128901
115,0839500001124000007,4205418646
116,0372500010724000001,7814820870
117,0335200014924000933,3904612235
124,0145100005224000022,7839306722
119,0163300026524000039,6708000841
120,0816500000624004276,1435335477
18709,0116300000224000145,1433017567
7143,0358300341724000004,6150925052
123,0157300025224000138,6027022362
125,0142200001324006837,6315909640
4698,0142200001324009516,6315909640
127,0101100000624000026,0274059951
128,0348100028024000108,5032001006
9549,0142200001324009516,6315909640
130,0353100005124000002,6318100463
17219,0349300001724000061,5101000398
132,0191100000424000001,7536059217
133,0135100002524000084,3904064765
135,0348100062024000100,9901033738
7631,0165300010124000069,7014044522
13403,0117100014024000013,2225019188
10725,0335200007524000023,3906055276
137,0119300060024000012,2447002442
138,0157100006824000016,6027086165
139,0165300009024000139,7024009277
140,0848300059124000039,5075023766
141,0859300019624000289,6234147017
142,0834500000724000004,3808268981
143,0173100013924000001,7702361427
144,0362300322024000008,6646009249
6411,0173200001224000016,7701679961
161,0169300033424000060,7443004494
147,0351300033024000002,5402127574
148,0162100008824000005,6659107821
149,0373100018224000011,7729392599
150,0116300009424000050,1430007786
168,0353300019124000006,5651020408
151,0176200005524000705,0105072228
152,0301200011224000027,0232007398
153,0120300020924000012,2536111725
154,0334300015724000178,3819012290
3753,0317300025024000023,2263006905
1431,0372200005624000042,7811005690
156,0118300013324000400,2315061988
157,0318300010724000123,2354005874
158,0332500000624000008,5260458190
24447,0154200000724000449,5753040072
160,0859200001124002058,6234151768
162,0859200001124004033,6234151768
163,0372200004424000024,7807016202
164,0131300035724000039,3631001604
165,0744200000224002326,4629026949
166,0816600003724000018,1425006071
169,0869200000224003376,7451402146
170,0373100093224000055,7707306652
7144,0317300025024000023,2263006905
173,0848300062224000477,5036155279
9628,0321300075624000023,2626031908
175,0351300156224000001,5405199168
176,0134200012124000032,3800000608
177,0801500001124000516,0274955820
178,0106100000924000046,1001017400
10920,0179200001924000102,0917006606
179,0318300552924000235,2302065343
180,0173100002224000004,7704206201
182,0124200000624002196,2901186555
13723,0321300075624000023,2626031908
181,0380200000124002424,1901089567
184,0329100018924000012,3409100458
17220,0372100049624000733,7802030429
187,0129200005324001012,3444200423
188,0133200001724000968,3702086910
9708,0177200000924001290,0411170520
189,0859200001124003770,6234151768
190,0360100006324000013,6452907758
191,0137200001224001777,4027078890
12056,0119200000124007251,2460071692
193,0169600019424000118,7430039027
194,0862300024424000001,6652030231
195,0848300048724000080,5035027683
12811,0119200000124007251,2460071692
198,0158300034524000056,6102009099
199,0815500000524003928,2130225986
200,0332500000624000009,5260458190
201,0343300009424000117,4501042880
202,0851200000624002630,5406722503
4035,0373100014624000023,7715217798
203,0372100005624000025,7830002416
204,0358300279624000015,6140005962
205,0263100000424000025,6730001897
206,0119300035324000013,2451000991
562,0354200026224000010,5753041894
207,0322100017524000014,2727000624
208,0121300028924000052,2625021960
10456,0177200000924001290,0411170520
225,0862300001224000008,6627020085
210,0318200036824000013,2320097620
211,0375100001224000136,9103003070
212,0848600008924000136,5045062461
213,0321100009324000006,2634010500
214,0160300011624000046,6417069180
219,0869300012424000006,7460023747
215,0851100001924000178,7709895509
216,0380200000124001953,1901089567
217,0853500000324002425,5610223825
218,0351100020624000041,5404109884
220,0167200003424002914,7202203221
221,0102200001624000974,0323825390
222,0319100004924000271,2462003962
223,0369300008424000098,7420001828
224,0138100002324000019,4101128090
227,0121200004724000283,2636210166
228,0116300005624000097,1414009962
229,0851200000624002552,5406722503
17221,0372200115724000047,7806024105
7145,0373100014624000023,7715217798
7354,0173200001224000016,7701679961
231,0118300013324000435,2315061988
232,0157200001824000029,6027022330
233,0366200035624002336,7107541446
7568,0305100005324000026,0814162917
235,0348100008424000010,5027053224
238,0103200008424001330,0572005870
239,0833600000824000275,3702184467
1721,0351300215724000109,5432211520
10457,0305100005324000026,0814162917
11290,0373100135924000015,7714372367
240,0369300149924000004,7451241668
241,0179200001524000016,0901006047
242,0368300000124000452,7325096322
243,0109200003924000002,7704091470
10047,0348100048724000030,5017019922
9554,0372200278524000042,7842444610
246,0372100053224000073,7810235910
248,0851200000624002508,5406722503
249,0373100020324000001,7709303128
247,0848300062724000159,5029206444
250,0122200002524001332,2721180057
251,0815500000524004193,2130225986
252,0321500001424000022,2635244194
253,0119200000124005555,2460071692
1621,0133200005724000009,3702640857
254,0368300000124000621,7325096322
12813,0348100048724000030,5017019922
256,0209100000224000041,1325026620
257,0335200014924000975,3904612235
289,0821200001924000008,2634091636
258,0373100109624000002,7709102090
259,0809500000324001113,1326250209
1561,0152100004724000018,5504030483
262,0367100010524000019,7204003161
6017,0869200000224004034,7451402146
7470,0173100008724000038,7702166610
21594,0373400014224000053,7709524864
266,0148200000524000019,7710170024
267,0372200231924000005,7806005938
1867,0131300038024000031,3632002086
7456,0373500003224000048,9715414944
10923,0328100002324000022,3327100048
268,0129300016724000066,3435110011
270,0163200000324002343,6730076910
272,0361500000724000004,6501296039
14812,0848300044524000089,5047165840
13188,0136500001124002649,6950233646
273,0302500001024000001,0300007110
7291,0815500000524004290,2130225986
15834,0131200001024004375,3666159455
276,0335200014924001080,3904612235
307,0859200001124003989,6234151768
277,0134500003824000002,3808273847
278,0367100008824000025,7202022112
279,0387300023224000066,8603169210
7296,0318200060324000024,2330027935
13724,0180300000224000247,1901016985
281,0301300021424000022,0275034029
17222,0131200001024004375,3666159455
283,0187200001724000809,8601032989
284,0307100001524000005,1101465237
4258,0173100015824000002,7705856731
4480,0344100003424000035,4629029121
18341,0873500000824000801,9705101759
288,0244100001724000004,4629026970
287,0373100105424000129,7720024671
8245,0362300211224000002,6652011599
7146,0344100003424000035,4629029121
20523,0133200004824000013,3702621660
292,0321500000624000109,2625068302
293,0135100002524000087,3904064765
294,0335200014924001049,3904612235
295,0187200001724000808,8601032989
18711,0879600004024000023,0900008130
11355,0362300211224000002,6652011599
297,0176200005524000704,0105072228
1155,0373100135924000013,7714372367
7292,0173100015824000002,7705856731
12816,0173100005724000002,7717509757
300,0158400000424000003,6165225159
301,0366300000824000045,7132002720
302,0815500000524003232,2130225986
498,0869200000224003335,7451402146
8834,0134200000124002838,3808131923
304,0351300048424000160,5405146977
305,0339100002524000012,4221007481
306,0302500000924000001,0300006050
7619,0372200048024000282,7807021756
309,0371300019524000013,7612007044
311,0302300076624000072,0315000572
310,0372200243124000006,7816164510
10325,0869200000224004034,7451402146
313,0309100008224000005,1326026260
315,0372200269424000029,7825132699
316,0119300039924000016,2404000419
7263,0122200001024000066,2700000786
343,0310100008124000007,1515900318
318,0865200000324000397,7017350944
24493,0373400014224000053,7709524864
320,0847500000924000588,4900012214
321,0373100051324000031,7703020645
322,0815500000524002828,2130225986
13855,0372200013924000018,7816010920
324,0332200042724000012,5240002160
325,0157300025224000139,6027022362
6161,0175300026024000015,9103012029
356,0123300008224000092,2801032015
327,0134300013524000061,3831004024
328,0172300001724000008,7804331598
329,0124200000624001656,2901186555
330,0169200000424000023,7453042379
331,0168300013024000177,7302032650
332,0132600024124000041,5243042643
333,0345300000524000056,4716001838
334,0115100000924000010,2129056878
336,0158300055724000006,6164048228
335,0372200023824000007,7827001282
12374,0848300048724000168,5035027683
22679,0133200004824000013,3702621660
340,0319100023324000069,2463002263
341,0342300000124000500,6317000378
342,0356500005524000020,5921036105
13726,0848300048724000168,5035027683
344,0162300005824000083,6606003882
345,0369300324424000013,7449030726
346,0190200000324004735,8901017607
347,0352300080624000053,5528004517
1468,0360300032824000021,6454034675
348,0342300000124000463,6317000378
349,0164100003524000008,6829009944
350,0821600006424000001,2618024390
351,0372200000124000402,7808046224
357,0573100026224000016,7734737129
352,0151200006024000075,5406636117
353,0365100009124000010,7017108742
9562,0572100005324000071,7809022120
24755,0803300226124000019,0542000890
354,0190300010824000253,8904074184
17223,0372200013924000018,7816010920
359,0108100000824000018,1200001162
360,0318200015324000008,2329019947
361,0826500000924001966,3123484942
7385,0175300026024000015,9103012029
362,0190300000224000118,8902002956
363,0848300058924000085,5018181974
364,0809500000324000680,1326250209
9177,0373100034524000015,7701012399
3279,0173100011224000008,7708234633
366,0825500000724001319,3015115200
367,0320300143724000101,2505007403
368,0180100004624000015,1901111942
369,0119100004924000034,2466127415
10514,0373100034524000015,7701012399
1473,0851200000624002261,5406722503
374,0816500000624006770,1435335477
375,0303100009024000007,0562044246
372,0132300007524000401,5253001036
7705,0301200079424000002,0273016627
14772,0156200009924000358,5902293851
376,0165300003324000018,7007001510
9563,0373200637324000014,7743937357
11465,0146500000324000003,4826146829
379,0158300039824000048,6143032957
380,0351300063924000002,5410124930
381,0129300023124000010,3428985277
382,0817200000324004755,2224164425
383,0373200086724000422,7737532313
384,0321500002724000009,2636219803
385,0342100011824000176,6317002858
1475,0822500000424000017,2722098983
386,0335200007524000014,3906055276
388,0121300021124000032,2627012993
390,0334100010824000015,3808115008
387,0132300007524000271,5253001036
391,0372200035224000038,7806044912
392,0124100005024000006,2901052689
3730,0322300002524000027,2721100340
8594,0122200001024000066,2700000786
3395,0173100007824000007,7707329152
396,0356500001424001836,5902046771
397,0815500000524004265,2130225986
398,0372200063624000025,7843308426
399,0249100000824000022,5192160029
400,0168500000624001648,7325169669
1842,0348200071924000038,5050047532
401,0851200000624001590,5406722503
402,0169200000424000031,7453042379
16541,0820500000824003080,2540254652
404,0102200001624000710,0323825390
3529,0122200001024000039,2700000786
406,0354300000124000028,5708000293
408,0302300016824000008,0305768340
12819,0373100032024000042,7703122485
415,0372200144124000019,7810214557
407,0351300172424000006,5402130947
411,0352300010524000119,5503033146
7147,0322300002524000027,2721100340
413,0843500000224001921,4501214152
6087,0145300010324000125,4707013298
4766,0173100012024000005,7703516539
417,0351300100824000002,5408152295
9565,0187200001724000877,8601032989
419,0101100009224000011,0274038937
421,0862300041824000064,6633022041
4758,0342300095824000097,6316019432
422,0162200011824001186,6670292984
423,0157300002024000047,6025001409
424,0158100007624000026,6163072891
425,0372200200024000005,7805149408
426,0372200227324000060,7805145481
427,0164300012724000043,6827002774
428,0327200017324000006,3255500260
429,0375100001224000075,9103003070
485,0132400000524000020,5260471018
431,0333300011324000113,3730005367
432,0351200023724000088,5406558885
433,0345100008424000034,7812024833
434,0134300051924000056,3817028489
435,0816500000624006031,1435335477
436,0190300001224000216,8903008622
18346,0162200013824000009,6649003340
438,0372200204324000005,7813098027
439,0145300001924000051,4713008137
440,0152600001924000013,5540014712
441,0351300106124000001,5406149089
443,0859200001124003578,6234151768
22681,0162200013824000009,6649003340
442,0111200000924000199,1655115974
495,0895100000124000114,7709895509
445,0149200002324001741,5190198362
446,0127200000224002311,3250063658
447,0365100014824000277,7018013613
448,0368300047024000078,7309000175
531,0372200073124000029,7806115232
449,0153300016324000017,5621005177
17226,0855200000524001820,5836013851
451,0134200000124001661,3808131923
452,0317300301924000284,2225126623
936,0869200000224003327,7451402146
453,0122100011724000022,2721121630
455,0131300019524000010,3608003177
3891,0122200001024000037,2700000786
456,0320200030224000009,2502048715
454,0373200068624000234,7705412327
458,0345200016524000005,7805423442
2780,0815500000524004054,2130225986
460,0173100010424000003,7703518529
461,0318200015324000007,2329019947
463,0323100005124000032,2539008116
464,0139300001424000077,4248000677
465,0356500001424002308,5902046771
5336,0351100002924000708,5408106348
467,0377300006524000011,0410004150
10826,0188100001124000014,8709013477
468,0163100000224000012,6730053285
4084,0273100001124000054,7727032382
22028,0832200006624000607,5260372553
471,0307200005224000010,1101481609
1161,0372200044324000055,7816120217
472,0348100005324000002,5031051660
473,0373100013124000188,7728094832
474,0318200074724000003,2308020148
475,0127100008624000006,3250058866
477,0169300032624000123,7425745669
9569,0347300008924000009,4908004279
1162,0105500000224000650,0816039228
476,0187300001224000183,8603032896
7148,0351100002924000708,5408106348
480,0102200001624001023,0323825390
12822,0118100011724000012,2309125633
483,0222100000124000180,2700000313
484,0356500001024000024,5902044157
482,0351300059924000003,5410124545
486,0154200000724000204,5753040072
487,0104300014424000279,0711037382
5667,0372100011124000031,7830002092
497,0801500000324000030,0274923441
488,0176300007324000015,0102004580
490,0168200005924000004,7325118223
491,0128200000124001239,3329013633
492,0348200067724000040,5011014773
493,0177200000924000920,0411170520
494,0112200000824001867,1701054052
9570,0372100011124000031,7830002092
500,0164300012724000039,6827002774
726,0120200003924000005,2540178592
501,0172400000724000019,7841077004
6137,0820500000824002396,2540254652
504,0133300004724000042,3721002338
505,0859200001124004119,6234151768
9571,0272100000424000013,7808024083
503,0358300180324000035,6166072297
13957,0375200040424000013,9104002961
508,0355300160824000001,5830003416
510,0134100006024000035,3811087738
512,0138300002224000010,4102002396
511,0174500001124001996,9204576208
513,0318300267624000064,2318006294
515,0356500001424001766,5902046771
516,0335500001024000019,3906361562
514,0372100001924000070,7813045265
518,0109100000924000034,1326148100
519,0356500001424001816,5902046771
520,0851200000624002180,5406722503
521,0873400004124000020,9710088253
522,0800500000624000181,5503239348
523,0373100070624000032,7722000820
524,0848300044124000036,5041202125
12070,0103200008424001833,0572005870
546,0171200001424000012,7604003720
9574,0848300064124000119,5012090600
3216,0111300063224000118,1644035822
528,0162300009224000011,6628003011
529,0373100088524000020,7706592947
530,0317300301924000402,2225126623
532,0372200273324000009,7810199250
533,0118300007324000117,2339010710
534,0373100084724000007,7719127048
535,0372200074424000031,7820026954
536,0345300106324000118,4703032701
537,0118300018724000314,2320037148
12824,0103200008424001833,0572005870
539,0856500000424000008,5902051563
540,0173100008324000007,7705847529
547,0127200000924000010,3234013473
541,0865200000324000442,7017350944
542,0179200001924000190,0917006606
6165,0142200001324009832,6315909640
544,0862300037224000014,6682002256
545,0744200000224002327,4629026949
548,0302300039524000002,0312002846
549,0129300008024000042,3428928021
550,0133300020024000052,3711006213
551,0301100009524000012,0263002030
22683,0373100060024000108,7730087409
8097,0103200008424001869,0572005870
555,0835100001324000014,3906132146
556,0311100007324000028,1660018461
561,0368300000124000597,7325096322
553,0351200023724000109,5406558885
557,0372200214124000017,7820020568
558,0373100059324000217,7728016351
13230,0815500000524005423,2130225986
559,0337100017724000068,4025062831
563,0358300343424000038,6143044215
564,0122300017024000033,2706026117
565,0348200047524000039,5042042925
566,0372200073124000024,7806115232
9485,0124200000624003215,2901186555
569,0318200012024000002,2334016638
570,0134300008524000096,3819005092
571,0334100006824000008,5403167763
572,0372200204324000006,7813098027
573,0137200001224001739,4027078890
7149,0111300063224000118,1644035822
575,0372100047224000007,7803055000
576,0165300014424000011,7010000524
6328,0387300001424000015,8601040443
1188,0365200003824000032,7017200956
579,0172100003024000019,7830002582
12825,0124200000624003215,2901186555
578,0843500000224002491,4501214152
11401,0373100028824000023,7736064976
583,0307300037524000075,1115001108
584,0119600003724000018,2459021270
585,0151300033724000052,5446112631
1704,0822600006724000136,2720056843
20577,0173100015224000009,7730654471
586,0372200005624000013,7811005690
6710,0131300000624000670,3650002882
588,0320300073624000006,2506010840
1189,0361200015024001703,6501220230
589,0867300000924000048,7203372222
7355,0145300010324000125,4707013298
591,0815500000524003936,2130225986
12073,0816500000624007732,1435335477
594,0700600015324000004,5908019453
593,0372200020324000063,7821007591
595,0340200003324004716,4345233451
12826,0816500000624007732,1435335477
597,0194200000524002591,2016014690
598,0136500001124001635,6950233646
852,0356500001424001473,5902046771
599,0332100022724000409,5260037940
13174,0165200003324000243,7017321870
2935,0372500009024000010,7841097748
602,0113100003924000012,1831012656
626,0190300000224000174,8902002956
603,0127500000224000003,3257057276
604,0373400013224000017,9722020612
605,0131200001024003523,3666159455
606,0124200000624001905,2901186555
9527,0322200022524000019,2724020196
608,0149200002324002498,5190198362
609,0843500000224002199,4501214152
610,0820500000824002035,2540254652
611,0325300036924000079,3008003827
612,0146200000524000023,4826024073
7150,0372500009024000010,7841097748
614,0332200041524000020,5262080274
615,0114500000824000428,0608058533
669,0131200001024003224,3666159455
617,0335300022424000085,3906029847
618,0372200174324000003,7810214733
619,0337400000724000164,7714042070
12827,0322200022524000019,2724020196
616,0848200000124000001,5034043019
620,0358200022624000025,6155031595
621,0162300005324000592,6661004661
622,0372200273324000014,7810199250
623,0139200000124005694,4205120352
1362,0139200000124003794,4205120352
627,0853500000324002658,5610223825
23565,0878500000224000685,7901549871
630,0304100005724000005,0711044742
631,0372100037124000211,7813085250
9693,0302100024824000142,0323048828
632,0320200000924000025,2506008671
633,0161300005824000005,6502001418
634,0849300004924000298,5190033508
635,0321100009324000004,2634010500
636,0372200002324000039,7807026480
12828,0358100002024000003,6164242708
638,0222200000124000014,2700000539
639,0843500000224001388,4501214152
640,0101100001124000028,0276090428
22686,0815500000524006292,2130225986
642,0373100014624000021,7715217798
643,0254100002724000009,5752006960
645,0335300019124000088,3906029237
647,0821200001524000010,2636805759
646,0255200000124000023,5835004660
648,0129200005324001132,3444200423
649,0119300019824000418,2466203803
9579,0339300000124000367,4207023869
650,0190200000324005473,8901017607
652,0156200009924000332,5902293851
653,0340200003324004930,4345233451
654,0124300021024000115,2901065991
16547,0167300000524000341,7202203479
670,0131200001024002634,3666159455
4289,0134300026324000125,3838001897
657,0375200000524000017,9102048618
658,0307200030624000839,1101486861
659,0860200000824003071,6454140585
1365,0372200008024000018,7820014518
660,0833600000824000228,3702184467
661,0361300026324000026,6501026071
7151,0134300026324000125,3838001897
663,0175100001224000019,7702835821
664,0324300025524000011,2910002483
665,0322100012924000013,2724018158
666,0121600009424000061,2614021542
667,0362200019924000020,6658078110
668,0162400001124000016,6670446810
671,0332200045924000004,5262034782
672,0372200000124000403,7808046224
673,0124200000624002041,2901186555
17232,0167300000524000341,7202203479
685,0817200000324005191,2224164425
676,0833600000824000301,3702184467
677,0862300039924000148,6617023400
678,0161300000124000368,6501026762
9580,0369300149924000038,7451241668
13730,0142200001324010618,6315909640
681,0276100000224000038,0105018326
682,0131300035724000041,3631001604
683,0150200002124000011,5321134453
684,0334500002024000003,3816034225
1386,0340200003324003962,4345233451
11494,0173100012024000005,7703516539
9581,0372100054624000122,7801300136
687,0861200000824000012,6504001903
689,0372200029124000018,7810280895
690,0354100011124000006,5752054315
317,0346200002824000258,4825005110
688,0360100030524000388,6452006471
691,0120300006524000135,2511004094
692,0330300144824000008,3522001675
693,0172200002224000078,7816053440
694,0373100029524000081,7729040491
695,0164600003524000005,6800006517
12831,0173100012024000005,7703516539
697,0361200015024001681,6501220230
2651,0328100002324000012,3327100048
699,0869200000224003277,7451402146
7153,0328100002324000012,3327100048
11369,0187300006524000559,8602020249
701,0151300054324000034,5438315405
702,0369100012824000066,7730087409
10517,0139300003224000025,4231002348
704,0361300026324000025,6501026071
705,0173100010924000012,7706560536
706,0134200000124002377,3808131923
707,0309200019724000049,1326048458
708,0369200003424000008,7453060674
709,0134300013524000062,3831004024
720,0229200000124000006,3445916210
710,0123100000924000004,2801018229
711,0116100000424000012,1435155072
712,0372200240124000017,7816416616
1434,0369300152124000040,7433002025
715,0845300015024000140,4704095687
716,0372200193124000031,7804033432
717,0373100099924000014,7707072637
10194,0173100013424000011,7733664260
719,0301200075124000001,0264059977
3553,0142300038324000005,6367100226
722,0188200000224000009,8709001231
723,0711200006024000008,1649001023
724,0387200029724000076,8603042478
7154,0142300038324000005,6367100226
727,0164300016524000233,6829029330
728,0105500000224000589,0816039228
11137,0302100024824000142,0323048828
731,0161300011124000122,6507014227
730,0373100020124000032,7708098645
6825,0105500000224000650,0816039228
732,0149200002324001898,5190198362
733,0131200001024003363,3666159455
734,0190200000324003569,8901017607
735,0372200160224000030,7822004392
736,0843500000224002252,4501214152
749,0123400000324000012,2801237742
2826,0173100011224000009,7708234633
738,0122300011924000038,2712002040
739,0156200009924000211,5902293851
740,0310200000324001044,1516613034
760,0372200269424000027,7825132699
7620,0109200003524000022,1326221529
741,0825500000724001164,3015115200
743,0133200001724000976,3702086910
744,0174500001124001587,9204576208
7155,0173100011224000009,7708234633
6788,0369300152124000047,7433002025
4152,0372100017924000003,7840420941
8079,0845500000424000003,7842124176
12832,0173100013424000011,7733664260
16852,0158200001524000032,6166059867
746,0328100002324000016,3327100048
747,0351100002924000717,5408106348
750,0162300031024000001,6612034053
751,0137100000724000021,4027066800
752,0176100004524000009,0105043820
753,0129200005324001004,3444200423
754,0334100000124000030,2466016747
755,0166300014624000006,7124000140
24448,0878500000224000685,7901549871
757,0111300000824000095,1650135166
758,0318300034424000074,2353006498
759,0366100009524000029,7106063719
18681,0318200004424000005,2337028857
763,0319100006124000018,2450002668
764,0233100000824000008,3729011567
765,0169300061924000015,7452121660
766,0851200000624002825,5406722503
5634,0321200014124000328,2633001661
9585,0372200042224000007,7805149341
769,0152200002524000001,5503058126
770,0134600002124000017,3816029440
771,0362100022224000020,6661085029
11147,0187300006524000554,8602020249
772,0372200056824000010,7806028928
14464,0117100014024000013,2225019188
774,0347200000224000002,4901000028
776,0167100004124000012,7202215241
2013,0351300215724000108,5432211520
777,0102100005424000011,0326022754
779,0387200025924000008,8602001729
780,0334100009424000011,7727615232
781,0190200000324003756,8901017607
782,0364100007624000016,6829012104
783,0318200076324000021,2320052241
784,0858500000424000030,6165229989
785,0335300045424000019,3904013351
786,0106100000924000049,1001017400
788,0362300311224000001,6646009175
789,0356500001424001726,5902046771
790,0375200005024000004,9102048978
890,0204100000424000022,0711026775
22033,0128200000124002675,3329013633
793,0351100008024000022,5405115866
794,0139200000124004318,4205120352
9586,0351200023724000115,5406558885
800,0816500000624006708,1435335477
796,0119200000124005611,2460071692
797,0308300010624000015,1215037475
798,0157200001824000040,6027022330
799,0162300005824000053,6606003882
10966,0372100017924000003,7840420941
801,0320200030824000022,2540202566
802,0118300018724000425,2320037148
803,0121600014324000040,2609024844
13731,0311100010024000011,1654004534
805,0133200002524000007,3731021516
806,0835100001324000012,3906132146
807,0350100000624000003,5321100888
808,0832200006624000372,5260372553
809,0311400000424000003,7703122485
6431,0373100063324000017,7709827266
810,0137200001224001786,4027078890
811,0308200005624000014,1215080985
812,0157200000324000259,6027090066
813,0867100000124000004,7202223490
5398,0167200003424002820,7202203221
815,0167200003424002750,7202203221
23567,0173100008624000010,7710349494
817,0139300002924000151,4216005979
818,0318300406424000047,2315071295
819,0387300023224000046,8603169210
820,0334300015724000162,3819012290
821,0318300003124000006,2335010597
822,0233100000824000007,3729011567
823,0372200068524000002,7806057911
9711,0320500000224000007,2540232352
825,0816500000624005819,1435335477
826,0175100001024000015,7707830457
827,0373100099524000014,7710757158
828,0162200007724000021,6612008825
829,0111300000824000088,1650135166
830,0339100001124000028,4213002440
831,0373100105424000028,7720024671
832,0338300007824000074,4101036120
850,0121600019724000055,2602007180
15406,0322200001224000692,2724002616
834,0159100006724000008,6228013760
835,0233100000824000010,3729011567
9589,0318300058324000049,2350006732
9416,0168300013024000277,7302032650
838,0372200082424000088,7807018016
841,0187300008424000108,8618002982
12598,0372500005324000049,7838087330
843,0164300031424000016,6828001300
844,0169300035824000109,7415031922
9590,0845300010124000009,4703122761
845,0120100008124000015,2538090446
846,0352300005024000040,5503034083
10734,0173200001424000578,7704515009
849,0327100002924000002,3234011941
7297,0167200003424002820,7202203221
853,0103200008424001446,0572005870
854,0187200001724000828,8601032989
855,0116100000524000013,1435155080
856,0809500000324000933,1326250209
857,0194200000524001615,2016014690
3954,0122200001024000036,2700000786
858,0150100005224000009,5321100670
859,0325300006424000148,3015009178
860,0372200122124000019,7804006894
861,0372200009824000075,7819026974
866,0356500001424002198,5902046771
862,0118300013324000385,2315061988
863,0208100000224000009,1200000345
864,0851200000624002605,5406722503
865,0817200000324003961,2224164425
13973,0372500005324000049,7838087330
867,0352500001324000001,5501196025
868,0367100000824000090,7204152364
869,0143100011824000017,4501111453
870,0335200014924000850,3904612235
871,0330100002224000033,3524007383
14035,0372200286924000007,7805640165
874,0859200001124003424,6234151768
875,0329100005924000116,3448009717
876,0817200000324003613,2224164425
1962,0819300031924000079,2454024207
6252,0333100006724000010,3731000308
12833,0168300013024000277,7302032650
880,0118300003224000114,2355006983
881,0168300013024000183,7302032650
911,0851200000624002862,5406722503
882,0190200000324005041,8901017607
884,0319300010124000135,2457054591
885,0373200632324000025,7710960640
9591,0333100006724000010,3731000308
9820,0875200001524000014,9102156564
886,0346300089524000007,4823015031
888,0356600004324000053,5933012300
889,0744200000224003657,4629026949
17236,0859200001124005691,6234151768
891,0373100077424000005,7725112547
892,0172300011724000002,7827010015
893,0321100008624000010,2635078412
5627,0873500000624000010,7714823958
894,0372100003424000443,7801002274
